scan_id,broker,pair,rate_type,qty,buy,sell
000000017,Cinkciarz,NOKPLN,unit price,1,4504,4566
000000018,InternetowyKantor,EURPLN,unit price,1,46719,47019
000000018,InternetowyKantor,CHFPLN,unit price,1,47718,48118
000000018,InternetowyKantor,USDPLN,unit price,1,45002,45302
000000018,InternetowyKantor,GBPPLN,unit price,1,53506,53906
000000018,InternetowyKantor,NOKPLN,unit price,1,4506,4566
000000018,Cinkciarz,CHFPLN,50K price,1,47674,47930
000000018,Cinkciarz,EURPLN,50K price,1,46715,46979
000000018,Cinkciarz,GBPPLN,50K price,1,53541,53836
000000018,Cinkciarz,USDPLN,50K price,1,45005,45263
000000018,Cinkciarz,NOKPLN,50K price,1,4504,4565
000000018,Cinkciarz,CHFPLN,unit price,1,47608,47996
000000018,Cinkciarz,EURPLN,unit price,1,46654,47043
000000018,Cinkciarz,GBPPLN,unit price,1,53480,53898
000000018,Cinkciarz,USDPLN,unit price,1,44945,45317
000000018,Cinkciarz,NOKPLN,unit price,1,4504,4565
000000019,InternetowyKantor,EURPLN,unit price,1,46717,47017
000000019,InternetowyKantor,CHFPLN,unit price,1,47722,48122
000000019,InternetowyKantor,USDPLN,unit price,1,44993,45294
000000019,InternetowyKantor,GBPPLN,unit price,1,53506,53906
000000019,InternetowyKantor,NOKPLN,unit price,1,4506,4566
000000019,Cinkciarz,CHFPLN,50K price,1,47672,47926
000000019,Cinkciarz,EURPLN,50K price,1,46712,46977
000000019,Cinkciarz,GBPPLN,50K price,1,53541,53845
000000019,Cinkciarz,USDPLN,50K price,1,45000,45256
000000019,Cinkciarz,NOKPLN,50K price,1,4503,4565
000000019,Cinkciarz,CHFPLN,unit price,1,47602,47992
000000019,Cinkciarz,EURPLN,unit price,1,46650,47039
000000019,Cinkciarz,GBPPLN,unit price,1,53484,53904
000000019,Cinkciarz,USDPLN,unit price,1,44936,45310
000000019,Cinkciarz,NOKPLN,unit price,1,4503,4565
000000020,InternetowyKantor,EURPLN,unit price,1,46718,47018
